Beer,Brewery,Location,% Alc (ABV)
Aphasia,Short's Brewing Company,Elk Rapids MI,8
Empress Catherine,Short's Brewing Company,Elk Rapids MI,8
Liberator,Short's Brewing Company,Elk Rapids MI,8
Schlenkerla Oak Smoke,Tavern Schlenkerla,Bamberg Germany,8
Heady Topper,The Alchemist,Vermont,8
Olde English 800 Ice,Olde English 800,,7.9
Paulaner Salvator,Paulaner Brauerei GmbH and Co. KG,,7.9
Bamboozleator,Ale Asylum,Madison WI,7.8
The Doppelrock,Great Lakes Brewing Co.,Cleveland OH,7.8
Trippel Beer,New Belgium Brewing Co.,Fort Collins CO,7.8
Happy Ending,Ale Asylum,Madison WI,7.7
Huma Lupa Licious,Short's Brewing Company,Elk Rapids MI,7.7
Ruination IPA,Stone Brewing Co.,,7.7
Monkey High Five,Bear Republic Brewing Company,Healdsburg CA,7.6
Legend Golden IPA,Legend Brewing Co.,Richmond VA,7.6
India White,Marble Brewary,Albuquerque NM,7.6
Spaten Optimator,Spaten-Franziskaner-Bräu,,7.6
Christmas Ale,Abita Brewing Company,Abita Springs LA,7.5
Ballistic Ipa,Ale Asylum,Madison WI,7.5
Bedlam! Ipa,Ale Asylum,Madison WI,7.5
Barrel 45 WetHop Wild Racer 5,Bear Republic Brewing Company,Healdsburg CA,7.5
Churchill’s Pale,Bear Republic Brewing Company,Healdsburg CA,7.5
Racer 5 IPA,Bear Republic Brewing Company,Healdsburg CA,7.5
Double Cream Stout,Bell's Brewery,Kalamazoo MI,7.5
Doppelbock,Bischoffs,,7.5
Kingpin,BridgePort Brewing Co.,Portland OR,7.5
Corsondonk Brown Abbey,Brouwerij Corsendonk,Brooklyn NY,7.5
Jai Alai,Cigar City,,7.5
Bailout Brew,Great Lakes Brewing Co.,Cleveland OH,7.5
Christmas Ale,Great Lakes Brewing Co.,Cleveland OH,7.5
Commodore Perry IPA,Great Lakes Brewing Co.,Cleveland OH,7.5
Hop Madness,Great Lakes Brewing Co.,Cleveland OH,7.5
Imperial Dortmunder,Great Lakes Brewing Co.,Cleveland OH,7.5
Rockefeller Bock,Great Lakes Brewing Co.,Cleveland OH,7.5
Rye of the Tiger,Great Lakes Brewing Co.,Cleveland OH,7.5
The Stein Bach,Great Lakes Brewing Co.,Cleveland OH,7.5
Foreign Extra Stout,Guinness Ltd.,Ireland,7.5
Malpais Stout,La Cumbre Brewing Co.,Albuquerque NM,7.5
Project Dank,La Cumbre Brewing Co.,Albuquerque NM,7.5
Superfly,Oaken Barrel Brewing Company,,7.5
Palm Royale,Palm Breweries,Belgium,7.5
Salvator,Paulaner,,7.5
Bucking Bock,Rahr & Sons Brewing Co.,Fort Worth TX,7.5
Juicy Tree,Short's Brewing Company,Elk Rapids MI,7.5
Soft Parade,Short's Brewing Company,Elk Rapids MI,7.5
Christmas Ale,Breckenridge Brewery,Denver CO,7.4
Legend Crim Dubbel,Legend Brewing Co.,Richmond VA,7.4
Legend Maibock,Legend Brewing Co.,Richmond VA,7.4
Mountain Ale,The Shed Brewery,Vermont,7.4
Crazy Ivan,Bear Republic Brewing Company,Healdsburg CA,7.3
Dragoon IPA,Dragoon Brewing Co.,Tucson AZ,7.3
Molson XXX,Molson Coors,Ontario Canada,7.3
Summit Oktoberfest,Summit Brewing Co,,7.3
Hop Nosh IPA,Uinta Brewing Company,Utah,7.3
Loose Cannon,Heavy Seas,Halethorpe MD,7.3
Gravel Road,Rahr & Sons Brewing Co.,Fort Worth TX,7.3
La Grange Farmhouse Ale,Rahr & Sons Brewing Co.,Fort Worth TX,7.3
Sticky Mcdoogle,Ale Asylum,Madison WI,7.2
Dry Creek Homegrown™,Bear Republic Brewing Company,Healdsburg CA,7.2
Old Saint Chango,Bear Republic Brewing Company,Healdsburg CA,7.2
Elephant,Carlsberg Group,Copenhagen Denmark,7.2
Lucille IPA,Georgetown Brewing Co.,Seattle WA,7.2
Good People Brewing Company IPA,Good People Brewing Company,Birmingham. AL,7.2
Elevated IPA,La Cumbre Brewing Co.,Albuquerque NM,7.2
Double Bag,Long Trail Brewery,,7.2
Fat Weasel,Mendocino Brewing Company (United Breweries Group),,7.2
Newburyport Green Head IPA,Newburyport Brewing Company,Newburyport MA,7.2
Sierra Nevada Torpedo,Sierra Nevada Brewing Co.,Chico CA,7.2
Sierra Nevada Torpedo Extra IPA,Sierra Nevada Brewing Co.,Chico CA,7.2
Arrogant Bastard Ale,Stone Brewing Co.,,7.2
Arrogant Bastard Ale Escondido CA,Stone Brewing Co.,,7.2
Thos Cooper & Sons Stout,Cooper & Sons,Australia,7.1
Coopers Extra Strong Vintage Ale,Coopers,,7.1
Great Divide Titan IPA,Great Divide Brewing Co.,Denver CO,7.1
Schlitz Red Bull Strong Beer,Miller Brewing Co. (MillerCoors),Woodridge IL,7.1
Cascadian Dark Ale,7 Seas Brewing,Gig Harbor WA,7
Save Our Shore,Abita Brewing Company,Abita Springs LA,7
Big Slick Stout,Ale Asylum,Madison WI,7
Amstel Bock,Amstel Brouwerij B.V.,Netherlands,7
Hop Ottin',Anderson Valley Brewing,Boonville CA,7
Heritage Ale,Bear Republic Brewing Company,Healdsburg CA,7
Belhaven Scottish Stout,Belhaven Brewery Company Ltd.,Scotland,7
Two Hearted Ale,Bell's Brewery,Kalamazoo MI,7
Hell's Belle,Big Boss,,7
Broken Top Bock,Deschutes,,7
Blonde Bock,Gordon Biersch,San Jose CA,7
Alberta Clipper,Great Lakes Brewing Co.,Cleveland OH,7
Black Ice,Great Lakes Brewing Co.,Cleveland OH,7
Hangar 24 IPA,Hangar 24 Brewery,California,7
UBU Ale,Lake Placid Brewing Co,Lake Placid NY,7
111 Farmhouse,Marble Brewary,Albuquerque NM,7
Double White,Marble Brewary,Albuquerque NM,7
Abbey,New Belgium Brewing Co.,Fort Collins CO,7
Snow Cap Ale,Pyramid,Seattle WA,7
Oktoberfest,Rahr & Sons Brewing Co.,Fort Worth TX,7
Saint Arnold Christmas Ale,Saint Arnold Brewing Co.,,7
Becky's Black Cat Porter,Seven Brides Brewing,Silverton OR,7
Franken Lou’s,Seven Brides Brewing,Silverton OR,7
Bellaire Brown,Short's Brewing Company,Elk Rapids MI,7
Black Cherry Porter,Short's Brewing Company,Elk Rapids MI,7
Black Licorice Lager,Short's Brewing Company,Elk Rapids MI,7
Bloody Beer,Short's Brewing Company,Elk Rapids MI,7
Cinnabilly,Short's Brewing Company,Elk Rapids MI,7
Cup A Joe Coffee Creme Stout,Short's Brewing Company,Elk Rapids MI,7
Ginger in the Rye,Short's Brewing Company,Elk Rapids MI,7
India Spruce Pilsner,Short's Brewing Company,Elk Rapids MI,7
Lil Wheezy,Short's Brewing Company,Elk Rapids MI,7
Farm To Tap Fresh Hop IPA,The Matt Brewing Company (Saranac),Utica NY,7
Warka Strong,Warka (Zywiec Group/Heineken),Warka Poland,7
Widmer Winternacht,Widmer Brothers Brewing Co.,,7
Winter Solstice,Anderson Valley Brewing,Boonville CA,6.9
Stowaway IPA,Baxter Brewing Co.,Auburn ME,6.9
Palone,Carlsberg Group,Copenhagen Denmark,6.9
Rich & Dan's Rye IPA,Harpoon Brewery,Boston MA,6.9
Miller Fortune,Miller Brewing Co. (MillerCoors),Milwaukee WI,6.9
Haffenreffer Private Stock,Private Stock Brewing Co,,6.9
Red Horse Beer,San Miguel Brewery Inc.,Philippines,6.9
Red Horse Extra Strong,San Miguel Brewery Inc.,Mandaluyong City Philippines,6.9
Freedom of ’78,Short's Brewing Company,Elk Rapids MI,6.9
Stone IPA,Stone Brewing Co.,,6.9
Double Take IPA,World Brews,California,6.9
Port Royal Export Stout,7 Seas Brewing,Gig Harbor WA,6.8
Ambergeddon,Ale Asylum,Madison WI,6.8
Belk's ESB,Anderson Valley Brewing,Boonville CA,6.8
Big Eye IPA,Ballast Point Brewing Co,San Diego CA,6.8
Phantom Punch Winter Stout,Baxter Brewing Co.,Auburn ME,6.8
Red Rocket Ale,Bear Republic Brewing Company,Healdsburg CA,6.8
Coopers Stout,Coopers,,6.8
Dragon Stout,Desnoes & Geddes,Kingston Jamaica,6.8
Kirin Beer,Kirin (Japan),,6.8
India Pale Ale,Lake Placid Brewing Co,Lake Placid NY,6.8
India Pale Ale,Marble Brewary,Albuquerque NM,6.8
Thos Cooper & Sons Real Ale,Cooper & Sons,Australia,6.8
Black Hops,Blue Hills Brewery,,6.75
New World Porter,Avery Brewing Co.,Boulder CO,6.7
Maibock,Bear Republic Brewing Company,Healdsburg CA,6.7
Autumn Ale,Breckenridge Brewery,Denver CO,6.7
Jubelale,Deschutes,,6.7
Obsidian Stout,Deschutes,,6.7
India Pale Ale,Pyramid,Seattle WA,6.7
Captain Fantasy,Short's Brewing Company,Elk Rapids MI,6.7
Hayride Autumn Ale,Baxter Brewing Co.,Auburn ME,6.6
Saint Arnold Elissa IPA,Saint Arnold Brewing Co.,,6.6
Happy Camper IPA,Santa Fe Brewing,,6.6
Sierra Nevada Celebration,Sierra Nevada Brewing Co.,Chico CA,6.6
Spaten Munich Special Dark Beer,Spaten-Brau,Germany,6.6
Leffe Blonde,Stella Artois brewery,Leuven Belgium,6.6
Harvest Ale,7 Seas Brewing,Gig Harbor WA,6.5
Bock,Abita Brewing Company,Abita Springs LA,6.5
Jockamo,Abita Brewing Company,Abita Springs LA,6.5
Alaskan Raspberry Wheat Ale,Alaskan Brewing,Juneau AK,6.5
India Pale Ale,Avery Brewing Co.,Boulder CO,6.5
Grand-Am,Bear Republic Brewing Company,Healdsburg CA,6.5
Belhaven Wee Heavy,Belhaven Brewery Company Ltd.,Scotland,6.5
Kalamazoo Stout,Bell's Brewery,Kalamazoo MI,6.5
IPA,Captain Lawrence Brewery,,6.5
Liquid Gold,Captain Lawrence Brewery,,6.5
Christian Moerlein Emancipator Doppelbock,Christian Moerlein Brewing Company,Cincinnati OH,6.5
Kirkland Signature India Pale Ale,Costco Wholesale Corp,Issaquah WA,6.5
Conway's Irish Ale,Great Lakes Brewing Co.,Cleveland OH,6.5
Kettle House Cold Smoke Scotch Ale,Kettle House Brewing Company,Missoula MT,6.5
Kirkland Signature Pale Ale,Kirkland Brewery,,6.5
Winter Lager,Lake Placid Brewing Co,Lake Placid NY,6.5
INDICA INDIA PALE ALE,Lost Coast Brewery,Eureka CA,6.5
India Rye Lager,Marble Brewary,Albuquerque NM,6.5
Red Ale,Marble Brewary,Albuquerque NM,6.5
New Belgium Ranger IPA,New Belgium Brewing Co.,Fort Collins CO,6.5
Dales Pale Ale,Oskar Blues,,6.5
Dale's Pale Ale,Oskar Blues Grill & Brew,Colorado,6.5
Storm Cloud,Rahr & Sons Brewing Co.,Fort Worth TX,6.5
Long Hammer IPA,Redhook Brewery,Redmond WA,6.5
Redhook IPA,Redhook Brewery,Redmond WA,6.5
Abiqua Black IPA,Seven Brides Brewing,Silverton OR,6.5
Hazelbock,Seven Brides Brewing,Silverton OR,6.5
Bourbon Barrel Soaked Sustenance Beer,Short's Brewing Company,Elk Rapids MI,6.5
Rye Not?,Short's Brewing Company,Elk Rapids MI,6.5
Summit Maibock,Summit Brewing Co,,6.5
Original Schlenkerla Smokebeer - Urbock,Tavern Schlenkerla,Bamberg Germany,6.5
India Pale Ale Wolaver's Fine Organic Ales,Wolaver's Fine Organic Ales,Middlebury VT,6.5
Ebenezer Ale,BridgePort Brewing Co.,Portland OR,6.4
Legend Hopfest,Legend Brewing Co.,Richmond VA,6.4
Terminator,McMenamins,,6.4
Broken Rake,Pyramid,Seattle WA,6.4
Saint Arnold Spring Bock,Saint Arnold Brewing Co.,,6.4
Dan’s Pink Skirt,Short's Brewing Company,Elk Rapids MI,6.4
Sierra Nevada Glissade,Sierra Nevada Brewing Co.,Chico CA,6.4
Sierra Nevada Stout,Sierra Nevada Brewing Co.,Chico CA,6.4
Summit IPA,Summit Brewing Co,,6.4
Young’s Special London Ale,Wells & Young's Ltd ,Bedford UK,6.4
Young's London Special,Wells & Young's Ltd ,Bedford UK,6.4
Out of Bounds Stout,Avery Brewing Co.,Boulder CO,6.3
Late Harvest Lager,Bear Republic Brewing Company,Healdsburg CA,6.3
Peter Brown Tribute Ale,Bear Republic Brewing Company,Healdsburg CA,6.3
Uber Lager,Bear Republic Brewing Company,Healdsburg CA,6.3
Lucky Bucket IPA,Lucky Bucket Brewing Co,,6.3
Tilted Kilt,Pyramid,Seattle WA,6.3
Gold Sovereign Ale,Summit Brewing Co,,6.3
Alaskan Icy Bay IPA,Alaskan Brewing,Juneau AK,6.2
Alaskan Winter Ale,Alaskan Brewing,Juneau AK,6.2
Buddha’s Hand Pale,Bear Republic Brewing Company,Healdsburg CA,6.2
Big Black Smoke,Great Lakes Brewing Co.,Cleveland OH,6.2
Eliot Ness Amber Lager,Great Lakes Brewing Co.,Cleveland OH,6.2
