Beer,Brewery,Location,% Alc (ABV)
Wit's End,Great Lakes Brewing Co.,Cleveland OH,4.8
Wolfhound Stout,Great Lakes Brewing Co.,Cleveland OH,4.8
Wheatfish,Great Northern Brewery,Whitefish MT,4.8
Weinhard's Dark,Henry Weinhard's,Hood River OR,4.8
South Peak Pilsner,La Cumbre Brewing Co.,Albuquerque NM,4.8
Legend Lager,Legend Brewing Co.,Richmond VA,4.8
Berry Weiss,Leinenkugel Brewing Co,Chippewa Falls WI,4.8
Honey Weiss,Leinenkugel Brewing Co,Chippewa Falls WI,4.8
Sunset Wheat,Leinenkugel Brewing Co,Chippewa Falls WI,4.8
GREAT WHITE,Lost Coast Brewery,Eureka CA,4.8
Harpoon UFO,Massachusets Brewing Company,,4.8
Cusquena,MillerCoors,Peru,4.8
Weinhard's Private Reserve,MillerCoors,,4.8
Naukabout American Pale Ale -,Naukabout Beer Company ,Massachusetts,4.8
Lammsbrau,Neumarkter Lammsbräu,Germany,4.8
Blue Paddle,New Belgium Brewing Co.,Fort Collins CO,4.8
Mothership,New Belgium Brewing Co.,Fort Collins CO,4.8
Spotted Cow,New Glarus Brewing Co,,4.8
Blatz Beer,Pabst Brewing Co.,Los Angeles CA,4.8
Signature Stroh Beer,Pabst Brewing Co.,Los Angeles CA,4.8
Curve Ball Kölsch,Pyramid,Seattle WA,4.8
Radeberger Pilsner,Radeberger Exportbierbrauerei ,Germany,4.8
Kolsch 45,Short's Brewing Company,Elk Rapids MI,4.8
Sierra Nevada Kellerweis Hefeweizen,Sierra Nevada Brewing Co.,Chico CA,4.8
St. Pauli Girl Dark,St. Pauli Brauerei,Bremen Germany,4.8
Summit Hefe Weizen,Summit Brewing Co,,4.8
Summit Pilsener,Summit Brewing Co,,4.8
Just IPA,The Just Beer Project,Vermont,4.8
Kingfisher beer,UB Group,,4.8
Warsteiner Premium Dunkel,Warsteiner Brewery,Germany,4.8
Warsteiner Premium Verum,Warsteiner Brewery,Germany,4.8
Courage Directors,Wells & Young's Ltd ,Bedford UK,4.8
Crest Export Lager,Wells & Young's Ltd ,Bedford UK,4.8
John Bull Blonde,Wells & Young's Ltd ,Bedford UK,4.8
Young's London Ale,Wells & Young's Ltd ,Bedford UK,4.8
Young's London Gold,Wells & Young's Ltd ,Bedford UK,4.8
Widmer Sommerbrä,Widmer Brothers Brewing Co.,,4.8
Tsingtao Beer,Tsingtao (China),,4.8
Sam Adams Boston Lager,Boston Beer Co.,Boston MA,4.8
Nordik Wolf Light,A.B. Pripps Bryggerier,Sweden,4.7
Michelob Golden Draft,Anheuser Busch,St Louis MO,4.7
Joe’s Premium American Pilsner,Avery Brewing Co.,Boulder CO,4.7
Summer Swelter,Baxter Brewing Co.,Auburn ME,4.7
Cher Ami,Bear Republic Brewing Company,Healdsburg CA,4.7
Birra Peroni,Birra Peroni Industriale S.p.A.,Italy,4.7
Monty Python's Holy Grail Ale,Black Sheep Brewery PLC,England,4.7
Boddingtons Pub Ale,Boddingtons Brewery,UK,4.7
Vanilla Porter,Breckenridge Brewery,Denver CO,4.7
Red Stripe,Desnoes & Geddes,Kingston Jamaica,4.7
Fuller's London Pride,Fuller's,,4.7
Old Style Beer,Heileman/Pabst,,4.7
Burger,Hudepohl-Schoenling Brewing,Cincinnati OH,4.7
Pilsner,Marble Brewary,Albuquerque NM,4.7
Landshark Lager,Margarita Brewing Company,,4.7
Hamm's Beer,MillerCoors,,4.7
Hamm's Golden Draft,MillerCoors,,4.7
Miller Genuine Draft,MillerCoors,Milwaukee WI,4.7
Newcastle Brown Ale,Newcastle (UK),,4.7
Easy Street Wheat,Odell's,,4.7
Lone Star,Pabst Brewing Co.,Los Angeles CA,4.7
Schlitz Beer,Pabst Brewing Co.,Los Angeles CA,4.7
Pete's Summer Brew,Pete's Brewing,,4.7
Redhook Audible Ale,Redhook Brewery,Redmond WA,4.7
Iron Maiden Trooper,Robinsons Family Brewers ,England,4.7
Pale Pale Ale,Saranac - Matt Brewing Co,,4.7
Pomegranate Wheat,Saranac - Matt Brewing Co,,4.7
Pomegranate Wheat,Saranac - Matt Brewing Co,,4.7
Summer Ale,Saranac - Matt Brewing Co,,4.7
Shipyard Pumpkinhead Ale,Shipyard Brewing Co.,Maine,4.7
Sierra Nevada Wheat,Sierra Nevada Brewing Co.,Chico CA,4.7
Tsingtao,Tsingtao,,4.7
Upland Wheat Ale,Upland Brewing Company,Bloomington IN,4.7
Wells Bombardier,Wells & Young's Ltd ,Bedford UK,4.7
Wells Bombardier Burning Gold,Wells & Young's Ltd ,Bedford UK,4.7
Widmer Hefeweizen,Widmer Brothers Brewing Co.,,4.7
Yuengling Black & Tan,Yuengling Brewery,Potsville PA,4.7
Sam Adams Cream Stout,Boston Beer Co.,Boston MA,4.7
Leinenkugel Original,Leinenkugel Brewing Co,Chippewa Falls WI,4.7
Michael Shea's,Genesee Brewing Company,Rochester NY,4.6
Alaskan Pale Ale,Alaskan Brewing,Juneau AK,4.6
Busch Beer,Anheuser Busch,St Louis MO,4.6
Original Sorghum Malt Beer,Bard's Tale Beer Company,NY,4.6
Belhaven Fruit Beer,Belhaven Brewery Company Ltd.,Scotland,4.6
Belhaven St. Andrews Ale,Belhaven Brewery Company Ltd.,Scotland,4.6
Sam Adams Golden Pilsner,Boston Beer Co.,Boston MA,4.6
Busch,Busch,,4.6
Carlsburg,Carlsberg Group,Copenhagen Denmark,4.6
Corona Extra Beer,Cereveria Modela SA,Mexico,4.6
Victoria Bitter (VB),Fosters,Australia,4.6
Altbier,Great Lakes Brewing Co.,Cleveland OH,4.6
Highlander Scottish Ale,Great Lakes Brewing Co.,Cleveland OH,4.6
Thomas Jeffe-Weizen,Great Lakes Brewing Co.,Cleveland OH,4.6
Black Star Double Hopped Golden Lager ,Great Northern Brewery,Whitefish MT,4.6
Highlander Premium Beer,Great Northern Brewery,Whitefish MT,4.6
Wild Huckleberry Wheat,Great Northern Brewery,Whitefish MT,4.6
Great Wall,Green Bamboo,China,4.6
Corona Extra,Groupo Modelo,Mexico,4.6
Birra Moretti,Heineken Italia,Milano Italy,4.6
Longboard Island Lager,Kona Brewing Co.,Hawaii United States,4.6
Rolling Rock Extra Pale,Latrobe Brewing Co,Latrobe PA,4.6
Leinenkugel Original,Leinenkugel Brewing Co,Chippewa Falls WI,4.6
Long Trail Ale,Long Trail Brewery,,4.6
Dry Irish Stout,McMenamins,,4.6
Miller High Life,MillerCoors,Milwaukee WI,4.6
Weinhard's Pale Ale,MillerCoors,,4.6
Bobby,Odell's,,4.6
Olympia,Pabst Brewing Co.,Los Angeles CA,4.6
Rainier,Pabst Brewing Co.,Los Angeles CA,4.6
Schaefer Beer,Pabst Brewing Co.,Los Angeles CA,4.6
Stroh's Beer,Pabst Brewing Co.,Los Angeles CA,4.6
Xingu a Brazillian Black Beer,PBL Group / Cervejaria Sul Brasileira,,4.6
Sea Dog Blue Paw Wild Blueberry Wheat Ale,Sea Dog Brewing,ME USA,4.6
Shiner 101 Czech Style Pilsner,Spoetzl Brewery ,Texas,4.6
Suntory Draft Beer,Suntory (Japan),,4.6
Estrella Damm,Wells & Young's Ltd ,Bedford UK,4.6
Widmer Widberry,Widmer Brothers Brewing Co.,,4.6
Kraftig Lager (William K. Busch),William K. Busch Brewing Co.,,4.6
Harp,Harp,Ireland,4.6
Amber,Abita Brewing Company,Abita Springs LA,4.5
Nor Cal Ale,Bear Republic Brewing Company,Healdsburg CA,4.5
Wine Country Wheat,Bear Republic Brewing Company,Healdsburg CA,4.5
Hopsam Ale,Bell's Brewery,Kalamazoo MI,4.5
Corona Light,Cereveria Modela SA,Mexico,4.5
Coopers Dark Ale,Coopers,,4.5
Coopers Draught,Coopers,,4.5
Yuengling Porter,D.G. Yuengilng,,4.5
Cascade Ale,Deschutes,,4.5
Dundee Original Honey Brown Lager,Genesee Brewing Company,Rochester NY,4.5
Genesee Beer,Genesee Brewing Company,Rochester NY,4.5
Pacifico Clara,Grupo Modelo,Mexico,4.5
Guinness Black Lager,Guinness Ltd.,Ireland,4.5
Smithwick's Imported Premium Irish Ale,Guinness Ltd.,Ireland,4.5
Private Reserve,Henry Weinhard's,Hood River OR,4.5
Honey Brown,J.W. Dundee,,4.5
Rolling Rock Premium Beer,Latrobe Brewing Co,Latrobe PA,4.5
Lucky Bucket Lager,Lucky Bucket Brewing Co,,4.5
Saranac Irish Red Ale,Matt Brewing Company,NY,4.5
Milwaukee's Best,MillerCoors,Milwaukee WI,4.5
Milwaukee's Best Light,MillerCoors,Milwaukee WI,4.5
Boxer Light,Minhas Craft Brewery,,4.5
Northern Golden Lager,Northern Brewing Co,,4.5
Alabaster,Oaken Barrel Brewing Company,,4.5
Bean Flicker Blonde,Odd Side Ales,Grand Haven MI,4.5
Bean Flicker,Odd Side Sales,,4.5
Cutthroat Porter,Odell's,,4.5
Lone Star Bock,Pabst Brewing Co.,Los Angeles CA,4.5
Iron City Lager,Pittsburgh Brewing Co.,Pittsburgh PA,4.5
Lager Beer,Port Republic,Novato CA,4.5
Kolsch,Saint Louis Brewery,,4.5
SAN MIGUEL BEER,San Miguel Fabricas,,4.5
Emily’s Ember,Seven Brides Brewing,Silverton OR,4.5
Lil’s Pils,Seven Brides Brewing,Silverton OR,4.5
Oatmeal Ellie,Seven Brides Brewing,Silverton OR,4.5
Beach Wheat,Short's Brewing Company,Elk Rapids MI,4.5
Beard of Zeus,Short's Brewing Company,Elk Rapids MI,4.5
West End Draught,South Australia Brewing (Lion Nathan Co.),Thebarton Australia,4.5
Guinness Black Lager,St. James’s Gate (Diageo),Dublin Ireland,4.5
Steamrail Ghost of Eyre Pale Ale,Steamrail Brewing Company,Hawthorn East Victoria Australia,4.5
Steamrail Lucky Amber Amber Ale,Steamrail Brewing Company,Hawthorn East Victoria Australia,4.5
Steamrail The Gold Digger Golden Ale,Steamrail Brewing Company,Hawthorn East Victoria Australia,4.5
Old Milwaukee,Stroh,,4.5
Aecht Schlenkerla Kräusen,Tavern Schlenkerla,Bamberg Germany,4.5
Gumball head,Three Floyds,,4.5
Blonde Ale,Tin Roof Brewing Company,Louisiana United States,4.5
Perfect Tin Amber,Tin Roof Brewing Company,Louisiana United States,4.5
Maple Nut Brown Ale,Tommyknocker Brewery,,4.5
Taj Mahal Premium Lager,United Breweries,,4.5
Wachusett Blueberry,Wachusett Brewing Company Inc.,,4.5
McEwan's Export,Wells & Young's Ltd ,Bedford UK,4.5
Young's Bitter,Wells & Young's Ltd ,Bedford UK,4.5
Young's Special,Wells & Young's Ltd ,Bedford UK,4.5
Goldmine Lager,World Brews,,4.5
Black & Tan,Yuengling Brewery,Potsville PA,4.5
Porter,Yuengling Brewery,Potsville PA,4.5
Curious Traveler Shandy,Boston Beer Co.,Boston MA,4.4
Unfiltered wheat,Boulevard Brewing Co.,Kansas City MO,4.4
Tecate,Cervecerla Cauhtemoc,Mexico,4.4
Yuengling Lager,D.G. Yuengling,,4.4
Yuengling Premium Beer,D.G. Yuengling,,4.4
Furstenberg German Beer,Fustlich Ferstenbergische,,4.4
Modelo Especial,Grupo Modelo,Mexico,4.4
Big Wave Golden Ale,Kona Brewing Co.,Hawaii United States,4.4
Proof,Meantime,London England,4.4
Keystone Premium,MillerCoors,Golden CO,4.4
Special Export Light,Pabst Brewing Co.,Los Angeles CA,4.4
Stroh's Light,Pabst Brewing Co.,Los Angeles CA,4.4
Pilsener Urquell,Pilsener Urquell Pilzen,Czech Republic,4.4
Pale Ale,Schlafly,,4.4
Shiner Blonde,Shiner,,4.4
Shiner Bock,Shiner,,4.4
Newcastle Summer Ale,The Caledonian Brewery Company Limited,Scotland,4.4
Lager,Yuengling Brewery,Potsville PA,4.4
Premium,Yuengling Brewery,Potsville PA,4.4
Budweiser Select,Anheuser Busch,St Louis MO,4.3
Michelob Light,Anheuser Busch,St Louis MO,4.3
Superior Imported Beer,Cerveceria Moctezuma,Mexico,4.3
Presidente Light,Cervecería Nacional Dominicana ,Dominican Republic,4.3
Carling Black Label,G. Heileman Brewing Co.,Milwaukee WI,4.3
Goose Island Honkers Ale,Goose Island Beer Company,Chicago IL,4.3
Great Lakes Bitter,Great Lakes Brewing Co.,Cleveland OH,4.3
Stoney's Light Beer,Jones Brewing Company,Pennsylvania United States,4.3
Milwaukee’s Best Premium,Miller Brewing Co. (MillerCoors),Milwaukee WI,4.3
Helles Schlenkerla Lager,Tavern Schlenkerla,Bamberg Germany,4.3
Widmer Blonde Ale,Widmer Brothers Brewing Co.,,4.3
Samuel Adams Belgian Session,Boston Beer Co.,Boston MA,4.3
Wildflower Wheat Wolaver's Fine Organic Ales,Wolaver's Fine Organic Ales,Middlebury VT,4.3
Golden,Abita Brewing Company,Abita Springs LA,4.2
Purple Haze,Abita Brewing Company,Abita Springs LA,4.2
Strawberry,Abita Brewing Company,Abita Springs LA,4.2
Wheat,Abita Brewing Company,Abita Springs LA,4.2
Bud Light,Anheuser Busch,St Louis MO,4.2
Bud Light Lime,Anheuser Busch,St Louis MO,4.2
Busch Light,Anheuser Busch,St Louis MO,4.2
Natural Light,Anheuser Busch,St Louis MO,4.2
Shock Top Lemon Shandy,Anheuser-Busch,St Louis MO,4.2
Roggenbier,Bear Republic Brewing Company,Healdsburg CA,4.2
Belhaven Robert Burns Ale,Belhaven Brewery Company Ltd.,Scotland,4.2
Moose Drool Big Sky Brown Ale,Big Sky Brewing Company ,Missoula MT,4.2
Caballo Extra,Cerveceria La Constancia,El Salvador,4.2
Pilsener,Cervecería Nacional Ecuador (SABMiller),Guayaquil Ecuador,4.2
Kräftig Light,City Brewery,,4.2
Thos Cooper & Sons Adelaide Lager,Cooper & Sons,Australia,4.2
Strawberry Blonde,Diamond Bear,,4.2
312,Goose Island Beer Company,Chicago IL,4.2
Goose Island Golden Pilsner,Goose Island Beer Company,Chicago IL,4.2
Guiness Draught - Bottle,Guinness Ltd.,Ireland,4.2
Hudepohl Amber Lager,Hudepohl-Schoenling Brewing,Cincinnati OH,4.2
Leinenkugel Summer Shandy,Jacob Leinenkugel,,4.2
Summer Shandy,Leinenkugel Brewing Co,Chippewa Falls WI,4.2
Coors Light,MillerCoors,Golden CO,4.2
Keystone Light,MillerCoors,Golden CO,4.2
Miller Genuine Draft Light,MillerCoors,Milwaukee WI,4.2
Miller High Life Light,MillerCoors,Milwaukee WI,4.2
Miller Lite,MillerCoors,Milwaukee WI,4.2
Weinhard's Amber Light,MillerCoors,,4.2
National Bohemian beer,National Brewing Company,,4.2
Skinny Dip,New Belgium Brewing Co.,Fort Collins CO,4.2
Schlitz Light,Pabst Brewing Co.,Los Angeles CA,4.2
Shiner Light Blonde,Shiner,,4.2
McEwan's 80,Wells & Young's Ltd ,Bedford UK,4.2
Leinenkugel Light,Leinenkugel Brewing Co,Chippewa Falls WI,4.2
Pabst Blue Ribbon Light,Pabst Brewing Co.,Los Angeles CA,4.2
Leinenkugel Amber Light,Leinenkugel Brewing Co,Chippewa Falls WI,4.1
Curious Traveler,Travler Beer,,4.1
Delerium Tremens,Brouwerij Huyghe,,4.1
Alexander Keith's Dark Ale,Alexander Keith's ,Nova Scotia Canada,4.1
Bud Ice Light,Anheuser Busch,St Louis MO,4.1
Bud Light Golden Wheat,Anheuser Busch,St Louis MO,4.1
Michelob Golden Draft Light,Anheuser Busch,St Louis MO,4.1
Michelob Ultra,Anheuser Busch,St Louis MO,4.1
Belhaven McCallum's Stout,Belhaven Brewery Company Ltd.,Scotland,4.1
Delerium Nocturnal,Brouwerij Huyghe,,4.1
Tuborg LITE,Carlsberg Group,Copenhagen Denmark,4.1
Sol Cerveza Especial,Cerveceria Moctezuma,Mexico,4.1
Hamm's Light,Hamm's,,4.1
Burger Light,Hudepohl-Schoenling Brewing,Cincinnati OH,4.1
Ruby,McMenamins,,4.1
Miller Chill,Miller Brewing Co. (MillerCoors),Milwaukee WI,4.1
Aspen Edge,MillerCoors,Golden CO,4.1
Hamm's Special Light,MillerCoors,,4.1
I.C. Light,Pittsburgh Brewing Co.,Pittsburgh PA,4.1
American Amber Lager,Straub Brewery,St Marys PA,4.1
American Lager,Straub Brewery,St Marys PA,4.1
Sam Adams Light,Boston Beer Co.,Boston MA,4.1
Light,Abita Brewing Company,Abita Springs LA,4
Budweiser 66 (UK),Anheuser Busch,St Louis MO,4
Ziegenbock (TX),Anheuser Busch,St Louis MO,4
Grain Belt Premium Light,August Schell Brewing Company,New Ulm MN,4
Tartare,Bear Republic Brewing Company,Healdsburg CA,4
Frio Light,Blues City Brewery,Memphis TN,4
Viennese Lager,Bohemian Brewery ,Utah,4
Band Of Brothers S01E01,Brasserie de la Senne,Belgium,4
Cerveza Carta Blanca,Cerveceria Cauhtemoc,Mexico,4
Edison Light,Edison Light,,4
Genny Light,Genesee Brewing Company,Rochester NY,4
Victoria,Grupo Modelo,Mexico,4
Labatt Blue Light,Labatt Brewing Company Ltd. ,Ontario Canada,4
Labatt Blue Light Lime,Labatt Brewing Company Ltd. ,Ontario Canada,4
Lindemans Framboise,Lindmans,,4
Lindemans Lambic,Lindmans,,4
Coors Light Summer Brew,MillerCoors,Golden CO,4
Murphy's Stout,Murphy's,,4
Northern Special Light,Northern Brewing Co,,4
Penn Pilsner,Pennsylvania Brewing Company,Pennsylvania,4
Ale La Reverend,Short's Brewing Company,Elk Rapids MI,4
Local’s Light Beer,Short's Brewing Company,Elk Rapids MI,4
Watney's Red Barrel Beer,Stag,England,3.9
Amstel,Amstel Brouwerij B.V.,Holland,3.9
Belhaven 80 Shilling,Belhaven Brewery Company Ltd.,Scotland,3.9
Lionshead Light,Lion Brewery Inc. ,Pennsylvania,3.9
Molson Light,Molson Coors,Ontario Canada,3.9
Light Beer,Port Republic,Novato CA,3.9
Shiner Light,Shiner,,3.9
Lone Star Light,Miller Brewing Co. (MillerCoors),Woodridge IL,3.9
Beamish Stout,Beamish & Crawford,Cork Ireland,3.8
Soberana,Cervecerias Baru Panama,San Cristobal Panama,3.8
Yuengling Light,D.G. Yuengling,,3.8
Narragansett Light,Genesee Brewing Company,Providence RI,3.8
Hudy Light,Hudepohl-Schoenling Brewing,Cincinnati OH,3.8
Old Style Light,Pabst Brewing Co.,Los Angeles CA,3.8
Old Milwaukee Light,Stroh,,3.8
Courage Best Bitter,Wells & Young's Ltd ,Bedford UK,3.8
Light,Yuengling Brewery,Potsville PA,3.8
Tecate Light,Cervecería Cuauhtémoc Moctezuma,Mexico,3.7
Rolling Rock Light,Latrobe Brewing Co,Latrobe PA,3.7
McEwan's 70,Wells & Young's Ltd ,Bedford UK,3.7
Younger's Tartan Special,Wells & Young's Ltd ,Bedford UK,3.7
Harbin,Anheuser-Busch,China,3.6
Genny Light,Genesee Brewing Company,Rochester NY,3.6
Wells Eagle,Wells & Young's Ltd ,Bedford UK,3.6
Light Lager,Yuengling Brewery,Potsville PA,3.6
Amstel Light,Amstel Brouwerij B.V.,Holland,3.5
Belhaven Best,Belhaven Brewery Company Ltd.,Scotland,3.5
Heineken Light,Heineken,Amsterdam Holland,3.5
Lindemans Cassis,Lindmans,,3.5
Lindemans Kriek,Lindmans,,3.5
Lindemans Pêche,Lindmans,,3.5
Lindemans Pomme,Lindmans,,3.5
Blatz Light,Pabst Brewing Co.,Los Angeles CA,3.5
Snow Beer,SABMiller,China,3.5
Summer Brew,Saranac - Matt Brewing Co,,3.5
Summer Brew,Saranac - Matt Brewing Co,,3.5
Prolonged Enjoyment,Short's Brewing Company,Elk Rapids MI,3.5
Dos Perros,Yazoo Brewing Company,,3.5
Kipling Light Lager,Genesee Brewing Company,Rochester NY,3.4
Kirin Light,Kirin Brewery Company,Tokyo Japan,3.3
Anchor Small,Anchor Brewing,San Francisco CA,3.3
333,Sabeco,Ho Chi Minh City Vietnam,3.3
Beck's Light,Brauerei Beck & Co.,St. Louis MO,3.2
American Light,Straub Brewery,St Marys PA,3.2
McEwan's 60,Wells & Young's Ltd ,Bedford UK,3.2
Canoe Paddler,Leinenkugel Brewing Co,Chippewa Falls WI,3.2
Dos Equis Amber,Cervecería Cuauhtémoc-Moctezuma,Mexico,3.1
Buttface Amber Ale,Big Horn Brewing Company,,3.1
Pearl River Lager,Guangzhou Zhujiang Brewery,Guangzhou China,3.1
Budweiser Clamato / Chaleda,Anheuser Busch,St Louis MO,3
Bud Light Clamato / Chaleda,Anheuser Busch,St Louis MO,2.8
Guineu Riner,Ca L'Arenys,Spain,2.8
Miller Genuine Draft 64 / MGD 64,MillerCoors,Milwaukee WI,2.8
Cristal,Union De Cervecerias Peruanas Backus y Johnston,,2.8
Pale Ale Doubletake,World Brews,,2.7
Carlsburg Light,Carlsberg Group,Copenhagen Denmark,2.7
Lindemans Pecheresse,Lindmans,,2.5
Stiegl Radler (Grapefruit),Stieglbrauerei zu Salzburg GmbH ,Austria,2.5
Bud Select 55 / Bud 55,Anheuser Busch,St Louis MO,2.4
Labatt 52 Ultra Light,Labatt Brewing Company Ltd. ,Ontario Canada,2.2
Pabst Extra Light Low Alcohol,Pabst Brewing Co.,Los Angeles CA,2.2
Dubhe Imperial Black,Unita Brewing,,2.2
Pearl Light,Pabst Brewing Co.,Los Angeles CA,2.1
Beer 30,Melanie Brewing Company,,1.9
Busch NA (non-alcoholic),Anheuser-Busch,St Louis MO,0.5
O'Doul's,Anheuser Busch,St Louis MO,0.4
Clausthaler,Clausthaler,,0.4
O'Douls Amber,O'Douls,,0.4
Beck’s NA/Alkoholfrei (Non-Alcoholic),Brauerei Beck & Co.,St. Louis MO,0.3
St. Pauli Girl N.A.,St. Pauli Brauerei,Bremen Germany,0.2
Coors NA,MillerCoors,Golden CO,0.1
Warsteiner Premium Fresh,Warsteiner Brewery,Germany,0
Bitburger Drive (NA),Bitburger Breweries,Germany,0
Buckler,Heineken,Amsterdam Holland,0
